stem	def	local	llm	merged
cisafaway	有十幾個的。；指擁有十幾個的（人）。	人,擁有	十幾個	十幾個,擁有
masatalido^edo^eng	裝聾作啞了，裝出聾子的樣子了。；指裝聾作啞的人。	樣子了,聾子,裝出	裝啞,裝聾	聾子,裝出,裝啞,裝聾
tototototsa	雞在嗑嗑地叫喚著。	喚著,嗑,雞	叫喚	叫喚,喚著,嗑,雞
sapifasawaw	想冷卻某物。	想	冷卻	冷卻,想
mi'i'iray	正在席地而坐了，坐在地上了。；指席地而坐的人。	坐在	席地而坐	坐在,席地而坐
mapataliyokay	沿著四周了。；指沿著四周的（對象）。	沿著	四周	四周,沿著
sapipakahotaw	想抓一把東西給人。	人,想,抓	一把	一把,想,抓
mihateran	慢吞吞地把…做了。；指慢吞吞所做的（事情）。；保管。	保管	慢吞吞	保管,慢吞吞
sapipatalasekalaw	想送到岸上。	想,送到	岸上	岸上,想,送到
masamihecaanay	累積一年了，達到一年了，一整年了。；指達到一年的、一整年的（時間）。	一整年了,一整年的,累積,達到	一年	一年,一整年,累積,達到
sahefong	形同坑窪之地。	形同	坑窪	坑窪,形同
kafatadan	裝了一半的，達到一半的。	裝,達到	一半	一半,裝,達到
falahodik	蜥蝪。	蜥蝪	蜥蜴	蜥蜴,蜥蝪
tano	前綴，主要表示：；一直從事…。；除此以外，別無他物。	事,別無他物,除此以外	一直從事	一直從事,別無他物,除此以外
pakatairaay	使之去了，讓他人去了。；指促使；他人前往的人。	使之去了	他人	他人,使之去
mihong	樣本〈日語借詞〉。	樣本	日語借詞	日語借詞,樣本
marohrohay	火燒時霹靂啪啦響。；指發出霹啪之聲的（燃燒物）。	燃燒物,發出,霹啪	火燒	火燒,燃燒物,發出,霹啪
kamo	（第二人稱代名詞，複數，基本格、主格形態） 你們。	你們	主格,基本格,第二人稱代名詞,複數	主格,你們,基本格,第二人稱代名詞,複數
mapalacalay	跨越過去了。；指被跨越的（對象，河）。	河,被跨越的,跨越	過去	河,跨越,過去
sasikesikedsa	處於一個隔離開來的狀態。	開來,隔離	隔開	開來,隔開,隔離
sapi'i'iraw	想席地而坐。	想	席地而坐	席地而坐,想
sa'iko'ikongsa	呈彎彎曲曲、扭扭曲曲的狀態。	呈,扭扭,曲曲	彎曲,扭曲	呈,彎曲,扭扭,扭曲,曲曲
sapilolodaw	想席捲某物。	想	席捲	席捲,想
malalikelikelay	大家在平均分配（東西）了。；指平均分配的（東西）的（人）。	人,大家	平均分配	大家,平均分配
pakahot	抓一把東西給人。	人,抓	一把	一把,抓
sapihatoloaw	想一次拿三個東西。	想,拿	三個	三個,想,拿
macakira	（語氣助詞）。；表示反問、反詰：真是那麼回事。	反問,反詰,回事	語氣助詞	反問,反詰,回事,語氣助詞
alacomocomod	一個跟著一個進去。	跟著	一個	一個,跟著
mitokakar	踮著腳。	踮著腳	踮腳	踮腳,踮著腳
sapitefad	從高處取物的用具。	物,處取	高處	處取,高處
masapokopokoh	形成一節一節的，呈一節一節的形狀。	呈,形成	一節	一節,呈,形成
miti'enecan	夾在腋下的東西。	夾	腋下	夾,腋下
kaikor	後面。	後面	因此無法進行提取	因此無法進行提取,後面
haningra	做為他的，準備給他的。	做為他的	他的	他的,做為他
sapipatalafekangaw	想送達上面。	想,送,達	上面	上面,想,送,達
anoca	（連接詞）。；表示：或者，或是，否則。	否則,或是	連接詞	否則,或是,連接詞
nanitiraay	從那裏（來）了，從那個地方（來）了。；指從那裏（來）的（人）。	人,來,從那裏了,從那裏的	那裡	從那裏,那裡
misatalatokotokosay	假裝到山上去了。；指假裝上山的人。	上山,假裝,裝到	山上	上山,假裝,山上,裝到
misatalatokotokos	假裝到山上去。	裝到	山上	山上,裝到
hakanakanay	二腿呈外八字形的。	呈,字形,腿	外八字	呈,外八字,字形,腿
alamitatoy	每人手中都提著。	提著	每人	提著,每人
norira	指示代詞。；(領有格形態)。那個的，那些的。	。那個的,示代詞,那些的	形態,領有格	。那個,形態,示代詞,那些,領有格
sapihaenaw	想這樣做。	想這樣做	想做	想做,想這樣做
tahadafak	直到翌日早晨。	直到	早晨,翌日	早晨,直到,翌日
henghengsa	轟隆隆嚮起來。	起	轟隆隆	起,轟隆隆
misaromi'ami'aday	正在一整天一整天地做著。；指一整天一整天做事的人。	做著	一整天	一整天,做著
sakacingodoaw	希望有羞恥之心。	希望	羞恥心	希望,羞恥心
makefingay	患痳疹了。；指痳疹患者。	患痳疹了,痳疹患者	麻疹	患痳疹,痳疹患者,麻疹
sakaciomahaw	希望有田產。	希望	田產	希望,田產
taof	末端往下拽彎。	彎,拽	末端	彎,拽,末端
misafelifelih	反反覆覆的動作。	反覆,覆	動作	動作,覆
sapililis	沿著岸邊行事使用的工具。	沿著,行事	岸邊	岸邊,沿著,行事
sasa'esa'en	將水滴漏使東西乾。	將水,滴漏	水滴	將水,水滴,滴漏
makosedoyay	垂頭喪氣了，無精打彩了。；指發愁的、垂頭喪氣的（對象）。	發愁的	垂頭喪氣,無精打彩	垂頭喪氣,無精打彩,發愁
wakangsa	呈仰面朝天的樣子。	呈	仰面朝天	仰面朝天,呈
noranan	指示代詞。；(領有格形態)。那個的，那些的，就是那個。	。那個的,就是那個,示代詞,那些的	形態,領有格	。那個,就是那個,形態,示代詞,那些,領有格
makilomot	被圍捕、圍攻、打。；所有當中之一。	圍攻,打,被圍捕	之一	之一,圍攻,打,被圍捕
pasarongen	給…一點點東西、請給一點吧。	給一點吧	請給	給一點,請給
mipatalaloma'ay	正送到屋裡了。；指把某物送到屋裡的（人）。	人,送到	屋裡	屋裡,送到
hades	語氣助詞。；表示反詰、反問：難道不是這樣嗎？；就是這樣嘛，本來就如此的。	助詞,反問,反詰,語氣	就是這樣,本來就如此	助詞,反問,反詰,就是這樣,本來就如此,語氣
kara'isal	分一些給他人。	分	他人	他人,分
palatoloay	分成三份了。；指把東西分成三份的人。	分成	三份	三份,分成
makeca'	一刀被砍下來。	砍	一刀	一刀,砍
pisafaan	輕視（他人）的地方、時間。	他人	輕視	他人,輕視
sapikorarohaw	想張牙舞爪兇相畢露。	想	兇相畢露,張牙舞爪	兇相畢露,張牙舞爪,想
sakifetolsa	厚厚地堆積著。	厚厚,地堆,積著	堆積	厚厚,地堆,堆積,積著
mapicpicay	 （紙等）被撕成一片片了。；指被撕成碎片的（片狀物）。	撕成,片狀物,碎片,紙等	一片片	一片片,撕成,片狀物,碎片,紙等
pasikawananay	向右了、朝向右邊了。；指朝向右邊的（人）。	人,向右了,朝向	右邊	右邊,向右,朝向
papito	（指人或動物）七個。	七個	動物	七個,動物
mihacecay	一次拿一個（東西），一個一個去拿。	拿	一個	一個,拿
sapipakoyang	老一輩親自操辦事情憑藉的手段。	操辦,藉	老一輩	操辦,老一輩
anako'	（感嘆詞）。；表示痛苦時的呼叫與呻吟。	呼叫與呻吟,痛苦	感嘆詞	呼叫與呻吟,感嘆詞,痛苦
misamelimeliay	正在翻來覆去地滾動了。；指滾動者。	滾動,滾動者	翻滾	滾動,翻滾
papeci'ay	掰成一半了。；指把東西掰成一半的（人）。	人,掰成	一半	一半,掰成
tatingerongerohsa	呈層層疊疊的樣子。	呈	層層疊疊	呈,層層疊疊
mihatosaan	一次把…拿兩個了。；指一次被拿兩個的（東西）。	拿	兩個	兩個,拿
pamomokhan	特地讓…鑽過去或套進去。	鑽	套進	套進,鑽
mapafahetek	埋設捕獸弓矢。	埋設	捕獸弓矢	埋設,捕獸弓矢
sapidemec	刹車的用器。	刹車,用器	刹车	刹車,刹车,用器
liyoliyonsa	不停地旋轉起來。	地旋,轉起	旋轉	地旋,旋轉,轉起
sapifatadaw	想裝半袋的東西。	想裝	半袋	半袋,想裝
fiwfiw	輕微風，一陣一陣的風吹聲。	輕微風,風吹聲	風聲	輕微風,風吹聲,風聲
ma^edengho	（短語）。；表示無能為力、無可奈何、還能怎麼樣。	力,無可奈何,無能,能	定義部分為短語	力,定義部分為短語,無可奈何,能
solsolhan	特地把…編串起來。	串起	編串	串起,編串
hacecay	一次拿一件，或一件一件地拿。	拿	一件	一件,拿
sapipatalaloma'aw	想送到家裏。	想,送到	家裏	家裏,想,送到
pakairaay	經過那裏了。；`Pakaira~`ay~；`kora~ `'ayam~ `a~ `ma~`^efer~. 那隻鳥從那裏飛行了。；指經過那裏的（人）。	人,行,那隻鳥從那,飛	經過	經過,行,那隻鳥從那,飛
mihatoloay	一次拿著三個了。；指一次拿三個東西的人。	拿,拿著	三個	三個,拿
sapatikol	供歸還用的。	供歸,還用	歸還	供歸,歸還,還用
medocsa	一溜上來了。	上來	一溜	一溜,上來
masaseti'	彼此互相打起來，你打我、我打你。	你打我,我打你,打起	互相,彼此	互相,你打我,彼此,我打你,打起
mipakaalaay	有能力去拿了，能拿了。；指有能力去拿某物的人。	拿,能拿了	有能力	拿,有能力
tafesiwtafesiwhan	特地把…飛快地越過去。	過去	越過,飛快	越過,過去,飛快
sapipalatang	量穀物使用的器具。	物,量	穀物	穀物,量
mihatosa	一次拿兩個，兩個東西一起拿。	拿	兩個	兩個,拿
mahacecayay	一次拿一個了，或一個一個被拿走了。；指一次拿一個，或一個一個被拿走的（東西）。	拿,拿走	一個	一個,拿
co'a'aren	決心逆風而行。；要反抗。	反抗	決心,逆風	反抗,決心,逆風
dafo'en	（去殼倉）把所需穀物取來。	去殼倉,物,需	取來,穀物	去殼倉,取來,穀物,需
sossos	風颼颼的聲音。	風	聲音	聲音,風
sapitakini'aw	想挾在腋下帶東西。	帶,想挾	腋下	帶,想挾,腋下
pasafafaway	分佈上游了、住在上游了。；指住在上游的人。	住	上游	上游,住
mihacinaray	席地而坐著，坐在地上了。；指席地而坐者，坐在地上的人。	坐在,著	席地而坐	坐在,席地而坐,著
sakacitalemaw	希望有鋒刃。	希望	鋒刃	希望,鋒刃
masapo'opo'oay	形成一節一節的，呈一節一節的形狀了。	呈,形成,形狀了	一節	一節,呈,形成
pisakoliciwan	製造自行車的地方、時間。	造	自行車	自行車,造
mahicera	被人詛咒。；到達目的地。	被人詛咒,達	目的地	目的地,被人詛咒,達
pa'inip	給他人喝一小口酒或水。	口酒,喝,水	一小口,他人	一小口,他人,口酒,喝,水
mahacinaray	席地而坐著。；指席地而坐的（人）。	人,著	席地而坐	席地而坐,著
mapecihay	一分為二了，被掰成兩半了。；指被一分為二的（東西）。	掰成	一分為二,兩半	一分為二,兩半,掰成
si'ed	噎住(食物卡在喉嚨裏)。	噎住	喉嚨,食物	喉嚨,噎住,食物
'i	（語氣助詞）。；表示疑問。；呢。；（連接詞）。；主要表示：；提示主語、主題。；正當…時候、在…過程中。；如果…、那麼…。；但是、不過。；地對他說，但他還是不聽話。；…,而且…。	…,不過,主題,但是,呢,地對他說,如果…,提示主語,正當,疑問,而且…,聽,話,過程,那麼…	語氣助詞	…,不過,主題,但是,呢,地對他說,提示主語,正當,疑問,聽,話,語氣助詞,過程
masapokopokohay	形成一節一節的，呈一節一節的形狀了。	呈,形成,形狀了	一節一節	一節一節,呈,形成
kina'etipay	停靠西邊了。；指停靠西邊的。	停靠	西邊	停靠,西邊
terocsa	一跳過去，聳身一跳的樣子。	一跳過去	聳身	一跳過去,聳身
pipatalaloma'an	送到家裏的地點、時間。	送到	家裏	家裏,送到
pipatowamian	給麵條吃的地方、時間。	吃	麵條	吃,麵條
limaen	特別預備五個（物品）。	預備	五個	五個,預備
mala'ecaanay	得了不治之症了。；指久治不癒的（疾病）。	久治,疾病	不治之症	不治之症,久治,疾病
malecafi'ay	蜂涌而上去了，大伙兒衝上去了。；指蜂涌而上的（對象）。	兒,大伙,衝	蜂涌	兒,大伙,蜂涌,衝
ca'ofen	必須回答，請回答。	回答,必須回答	我無法進行提取	回答,我無法進行提取
sareda'sa	沈沈入睡的樣子、睡得香。	入睡,沈沈,睡得香	沈睡	入睡,沈沈,沈睡,睡得香
dadada	（邀請客人的加強敬辭）。；請，好吧。	好吧	加強,客人,敬辭,邀請	加強,好吧,客人,敬辭,邀請
pasiwaliay	向東了、面向東方了。	向東了,面向	東方	向東,東方,面向
nasi	梨〔日語借詞〕。；梨〈日語借詞〉。	梨	日語借詞	日語借詞,梨
kalakolonghan	就把某物當牛使用。	牛	某物	某物,牛
sapihiceraaw	希望達到目的地。	希望,達到	目的地	希望,目的地,達到
pipatalaloma'	請送到家裏吧。；送到家裏的。	送到	家裏	家裏,送到
sakatoni'sa	鬆軟的樣子、爛爛的、軟巴巴的。	爛爛的,軟巴巴的	鬆軟	爛爛,軟巴巴,鬆軟
masowafay	在打呵欠了。；指打呵欠的（人；等）。	打呵欠,等）,（人	定義部分僅顯示等	定義部分僅顯示等,打呵欠,等）,（人
sapiwingawing	搖擺（尾巴）憑藉的手段。	尾巴	搖擺	尾巴,搖擺
alacefocefo'sa	於是一個個噗咚噗咚跳下水。	下水,跳	噗咚噗咚	下水,噗咚噗咚,跳
fesfessa	風嗖嗖地刮著。	刮著	風刮	刮著,風刮
adi	（感嘆詞）。；表示讚美、驚嘆。；她真美啊。	她真美啊,驚嘆	感嘆詞	她真美,感嘆詞,驚嘆
pasa'etipay	分佈西方了、住在西部了。；指住在西部的人。	住	分佈,西部	住,分佈,西部
haloya	包括那個（指不在現場的第三者）。	包括那個	第三者	包括那個,第三者
pakairaaw	經過那裏啦。	經過那	那裏	經過那,那裏
satalido'edo'engsa	做出裝聾作啞的樣子。	做出	作啞,裝聾	作啞,做出,裝聾
mipatangasa	送到目的地。	送到	目的地	目的地,送到
safolsa	著急地。	著急地	急躁	急躁,著急地
micaheras	突然衝過來。	突然	衝過來	突然,衝過來
pihacecayan	一次拿一個的地方、時間。	拿	一個,一次	一個,一次,拿
mipakahotay	正在抓一把給對方了。；指抓一把東西給人的（人）。	人,抓	對方	對方,抓
mi^efiday	吸半截了；一杯酒喝半杯了。；指吸半截香煙的人；一杯酒大家一起喝了的人。	吸,吸半截了,喝,大家,杯酒,香煙	半杯	半杯,吸,喝,大家,杯酒,香煙
sapikalisepat	分成四等份（級別）使用的器具。	分成,級別	四等份	分成,四等份,級別
hokini	（語氣助詞）。；表示推測、估量、反詰等。	估量,反詰等,推測	語氣助詞	估量,反詰等,推測,語氣助詞
masaporoporoday	呈一圈一圈的形狀了。；指呈一圈一圈形狀的（東西）。	呈,形狀了	一圈一圈	一圈一圈,呈
kalafitinghan	就把某物當耳環戴。	戴	耳環	戴,耳環
tata'edi'edipsa	呈層層疊疊的樣子。	呈	層層疊疊	呈,層層疊疊
malalilid	兩人共同抬、挑東西。	人,抬,挑東西	兩人,共同	兩人,共同,抬,挑東西
rawrawsa	處於亂糟糟的、無頭緒的狀況。	狀況	亂糟糟,無頭緒	亂糟糟,無頭緒,狀況
pikitelan	用手指摘斷枝葉的地點、時間。	指摘	手指,摘斷,枝葉	手指,指摘,摘斷,枝葉
mapakacikay	經受得起跑動。	受得,起跑	跑動	受得,起跑,跑動
caheras	突然衝過來。	突然	衝過來	突然,衝過來
pakiring	給人遮陽器具戴。	人遮陽,戴	遮陽器具	人遮陽,戴,遮陽器具
pamotekay	瞪著眼睛看著。；指瞪著眼睛看的人。	看,看著,眼睛,瞪著	瞪眼	看,眼睛,瞪眼,瞪著
konokonosa	彎著腰，彎下腰。	彎下腰,彎著腰	彎腰	彎下腰,彎腰,彎著腰
nai…tala…	（表示地點、場所的起訖）。；從…至…，從…到…。	從…到…,從…至…	從到,從至	從…到…,從…至…,從到,從至
misa'alangad	做飯團便當。	飯團	便當,做飯	便當,做飯,飯團
piketosan	摘取穀物的地點、時間。	摘取,物	穀物	摘取,穀物
tokakar	踮著腳。	踮著腳	踮腳	踮腳,踮著腳
pasifekangsa	以向上的方式、呈向上的狀態。	呈	向上	向上,呈
taheraay	達到那裏了。；指到達那裏的（人）。	人,達,達到	那裏	達,那裏
halotamdawhan	就連人一起整個兒。	人,兒	整個	兒,整個
mingkay	面會〈日語借詞〉。	面會	日語借詞	日語借詞,面會
tahadafakay	直到翌日早晨了。；指直到翌日早晨的。	直到	早晨,翌日	早晨,直到,翌日
pamotek	瞪著眼睛看。	看,眼睛,瞪著	瞪眼	看,眼睛,瞪眼,瞪著
mililisay	順著邊沿（走）了。；指順著邊沿走的人。	走,順著	邊沿	走,邊沿,順著
namo	（第二人稱代詞，複數，領有格、獨立式形態）。；你們的。	你們的	獨立式形態,第二人稱代詞,複數,領有格	你們,獨立式形態,第二人稱代詞,複數,領有格
hasapawsa	準備做乾糧用。	糧用	乾糧	乾糧,糧用
sapisakakkakaw	想嘎嘎叫喚。	喚,想	嘎嘎叫	喚,嘎嘎叫,想
kanasaw	(海邊的)(海邊的)有剌的草.	剌,草.	海邊	剌,海邊,草.
pihiceraan	達到目的地的地方、時間。	地的地方,達到	目的地	地的地方,目的地,達到
kalinta	〈英語借詞〉日曆。	英語	日曆	日曆,英語
misaromaay	正在做別的。；指做別的人。	做別的	別的	做別,別的
sapisakarihaw	想耙攏穀物。	想,攏,物,耙	穀物	想,攏,穀物,耙
pipakahemekan	逗引他人高興的地點、時間。	逗引	他人,高興	他人,逗引,高興
misapokopokoh	做成一節一節，弄成一節一節。；正在做一節一節了。；指把東西做一節一節的（人）。；把…做成一節一節了。；指做成一節一節的（東西）。	人,弄成	一節	一節,弄成
pangitangiten	…強制從事。	事,強制	從事	強制,從事
haloyaay	連那個都包括了。	包括	那個	包括,那個
mahiceraay	被人詛咒的人、遭到惡運的人。；到達目的地了。	人,地了,詛咒,達,遭到	目的地	地了,目的地,詛咒,達,遭到
mipasaromi'adan	花了一整天。；指受命做了一整天的（物件、東西）。	受命,花	一整天	一整天,受命,花
sapisaharakataw	想加快步伐走。	想,走	加快,步伐	加快,想,步伐,走
safaliwfiwsa	風颯颯的聲音。	風	聲音	聲音,風
samiyamiyatsa	閃閃發光，閃閃發亮,一閃一閃的樣子。	閃閃發亮,閃閃發光	閃亮,閃爍	閃亮,閃爍,閃閃發亮,閃閃發光
kaporohan	（刀）鈍、不快的部位。	刀,鈍	不快	不快,刀,鈍
pipafilongan	歡度春節的地點、時間。	歡度	春節	春節,歡度
napatangican	勉強從事過的。	事,勉強	從事	勉強,從事
dafadafaksa	每天清晨地（做），趁著清早。	做,趁著清早	每天,清晨	每天,清晨,趁著清早
sapihatosaaw	想一次拿兩個東西。	想,拿	兩個	兩個,想,拿
alatolo	每人分得三個。	分得	三個,每人	三個,分得,每人
milikowat	圍成一圈。	圍成一圈	圍圈	圍圈,圍成一圈
sa'opicansa	渾身濕漉漉的樣子。	渾身	濕漉漉	渾身,濕漉漉
kalatkat	閃閃發光。	閃閃發光	閃爍	閃爍,閃閃發光
masatakirikiriay	（走路）跌跌撞撞了。；指跌跌撞撞的（行人）。	行人,走路	跌跌撞撞	行人,走路,跌跌撞撞
mipakacikayan	有能力或能夠把…跑到。；指能夠跑下來的（目標、地方）。	目標,跑	有能力	有能力,目標,跑
misakeni'keni'	有意識地眨眼睛。	地,識	眨眼睛	地,眨眼睛,識
papeci'en	給…掰成一半，把…掰成一半。	掰成	一半	一半,掰成
hiwa	（語氣助詞）。；呢。；妳沒來啊。；（語氣助詞）。；呢。	呢,妳沒來啊	語氣助詞	呢,妳沒來,語氣助詞
papecihay	掰成一半了。；指把東西掰成一半的人。	掰成	一半	一半,掰成
kili	布〈日語借詞〉。	布	日語借詞	布,日語借詞
pa'enoray	抛錨了。；指抛錨者。	抛錨了,抛錨者	拋錨	抛錨,拋錨
samatiyaay	好像那樣子了。	好像,子	那樣	好像,子,那樣
ngitir	套住一點點。	套住	一點點	一點點,套住
mayayasay	沿途撒滴著。；指沿途撒滴的（東西）。	撒,撒滴,滴著	沿途	撒,沿途,滴著
mipakacikayay	有能力跑了，擅跑了。；指擅跑者，有能力跑的人。	擅跑了,擅跑者,跑	有能力	有能力,跑
masalaymaymayay	嘮嘮叨叨的，喋喋不休的。；指嘮嘮叨叨的（對象）。	叨叨	喋喋不休,嘮叨	叨叨,喋喋不休,嘮叨
pakahoten	抓一把東西給…。	抓	一把	一把,抓
pihicera	必須達到目的地。	達到	目的地	目的地,達到
sapiparoaw	想裝進去東西。	想裝	裝進	想裝,裝進
pasietipay	向西了、面向西邊了。；指面向西邊的（東西）。	向西了,面向	西邊	向西,西邊,面向
sapipatangasaaw	想送達目的地。	想,送,達	目的地	想,目的地,送,達
sali^emi	閃閃發光。	閃閃發光	閃光	閃光,閃閃發光
mitafakay	正在用煙斗裝滿煙絲吸著。；指吸煙者。	吸煙者,吸著	煙斗,煙絲	吸煙者,吸著,煙斗,煙絲
palatocen	給…點火把。	火把	點火	火把,點火
misaamamokokay	正在靜下心來了。；指不吭氣者，安靜的人。	不吭氣者,安靜	靜下心	不吭氣者,安靜,靜下心
pipoco'	治甲狀腺腫大。；甲狀腺腫大的。	治	甲狀腺腫大	治,甲狀腺腫大
mipatowami	給他人麵條吃，送他人麵條。	吃,送	他人,麵條	他人,吃,送,麵條
napipawalian	曾經曬穀物的地方（時間），曬過穀物的地方（時間）。	曬,物	穀物	曬,穀物
malalikelikel	大家平均分配。	大家	平均分配	大家,平均分配
sakaciroma	有區別的原因。	有區	區別	區別,有區
sapifelonaw	想從裏面倒出來。	倒,出,想	從裏面	倒,出,從裏面,想
sa'apapitansa	果實累累的樣子。	累累	果實	果實,累累
sakihecosa	擠得緊緊的樣子。	擠	緊緊	擠,緊緊
pa'olawen	用煙把…燻黑。	煙	燻黑	煙,燻黑
sakaci'osawaw	希望有剩餘。	希望	剩餘	剩餘,希望
tokikar	踮著腳站。	踮著腳站	踮腳	踮腳,踮著腳站
podpodhan	特地把…撿拾起來。	拾起	撿拾	拾起,撿拾
haloamo	包括你們（的）在內，連你們（的）在內。	包括	你們	你們,包括
sakasimaan	具有什麼用途。	具有,用途	因此無法進行提取	具有,因此無法進行提取,用途
takiri'	趔趄（走路不穩要摔到的樣子）。	趔趄	走路	走路,趔趄
safaw	指十整數以外的餘數。；`safa~`w~. 二十三。	餘數	二十三	二十三,餘數
conadsa	湧現在眼前。	湧現	眼前	湧現,眼前
pinawnaw	用水淹沒吧。；請涮鍋。	水淹,涮鍋	淹沒,用水	水淹,涮鍋,淹沒,用水
pihatoloan	一次拿三個東西的地點、時間。	拿	三個	三個,拿
mataritaringay	成一堆一堆了，一堆堆地堆起來了。；指一堆堆起來的（東西）。	一堆堆,堆起	一堆一堆	一堆一堆,一堆堆,堆起
as	（感嘆詞）。；表示懷疑、不解。	不解,懷疑	感嘆詞	不解,感嘆詞,懷疑
aya	（感嘆詞）。；表示同情、憐憫與關心。	憐憫,表示同情,關心	感嘆詞	感嘆詞,憐憫,表示同情,關心
sipaso'araw	面對面加予比較。	加予	比較,面對面	加予,比較,面對面
mataritaring	成一堆一堆，一堆堆地堆起來。	一堆堆,堆起	一堆一堆	一堆一堆,一堆堆,堆起
pipoco'an	治甲狀腺腫大的地方、時間。	治	甲狀腺腫大	治,甲狀腺腫大
mimalian	打過球，玩過球。；指打過的球及其地方。	打過,打過球,玩過球,球及其地方	打球,玩球	打球,打過,玩球,玩過球,球及其地方
sakacisafawaw	希望有剩餘。	希望	剩餘	剩餘,希望
sapihicera	為達到目的地而憑藉的工具。	地而憑藉的工具,達到	目的地	地而憑藉的工具,目的地,達到
mapatowamiay	得到麵條吃了。；指得到麵條吃的（人）。	人,吃,得到	麵條	吃,得到,麵條
ngawngawsa	嗷嗷地叫喚著。	喚著	叫喚	叫喚,喚著
ma'opir	編成辮子，編成繩子。	編成繩子,編成辮子	編繩子,編辮子	編成繩子,編成辮子,編繩子,編辮子
hatolo	三個（東西）一起拿，一次同時拿三個（東西）。	拿	一次,一起,三個,同時	一次,一起,三個,同時,拿
masakalakalaay	稀裡糊塗了，表現出糊塗的樣子了。；指稀裡糊塗的（人）。	人,出,樣子了,糊塗,表現	稀里糊涂,糊涂	出,糊塗,糊涂,表現
hamako	做為我的，準備給我的。	做為我的	我的	做為我,我的
samali^emisa	閃閃發亮地、一閃一閃地。	發亮	一閃,閃亮	一閃,發亮,閃亮
mamalalocoklock	會串聯起來。	會串,聯起	串聯	串聯,會串,聯起
dayhiw	代表〈日語借詞〉。	代表	日語借詞	代表,日語借詞
sapipedikaw	想折叠、重叠。	想折叠,重叠	折疊,重疊	想折叠,折疊,重叠,重疊
pipatowami	給麵條吃吧。；給麵條吃的。	吃	麵條	吃,麵條
sapipakalawacaw	想放在邊沿上。	想	邊沿	想,邊沿
sapitefadaw	想從高處取物。	想,物,處取	取物,高處	取物,想,處取,高處
masaporoporod	呈一圈一圈的形狀。	呈	一圈一圈	一圈一圈,呈
haniyah	做為自己的，包括自己的。	做為,包括	自己	做為,包括,自己
misaromaromaan	曾經做各種不同的事情了，曾經做各種各樣不同化變了。；指所做的各種不同的（東西），做各種各樣不同化變的（事情）。	不同,事情了,化變,各種不同的	變化	不同,化變,變化
peling	（玻璃等的炸碎聲）砰地一聲響。	響	炸碎聲,玻璃	炸碎聲,玻璃,響
malilafoay	侯選人。	侯選人	候選人	侯選人,候選人
pasi'ayaway	向著前方了。；指朝向前方的（人）。	人,向著,朝向	前方	前方,向著,朝向
mipakahotan	曾經抓一把給某某了。；指抓一把給予的（物件）。	抓,給予	一把	一把,抓,給予
pamoteken	瞪著眼睛把…看。	看,眼睛,瞪著	瞪眼	看,眼睛,瞪眼,瞪著
hiwawa	（語氣助詞）。；呢。	呢	語氣助詞	呢,語氣助詞
sakoriyaliyatsa	皺著眉頭的樣子。	皺著,眉頭	皺眉	皺眉,皺著,眉頭
'apapitanay	果實累累了。；果實累累的。；果實累累了。；果實累累的。	累累	果實	果實,累累
alacecayen	每人要各分得一個。	分得,要	一個,每人	一個,分得,每人,要
